filename,width,height,class,xmin,ymin,xmax,ymax
zoom_tests_RockPaperScissors-mohamed_mp4-67_jpg.rf.000c94da234525180bcf003ce05e8ea1.jpg,640,640,Rock,12,0,141,250

egohands-public-1625070649053_png_jpg.rf.000a5110e86a581124b82143dde75594.jpg,640,640,Rock,153,407,485,637

zoom_tests_RockPaperScissors-mohamed_mp4-111_jpg.rf.0026014f030bc8948f695c72e7da80cb.jpg,640,640,Paper,0,227,233,640
IMG_5636_MOV-61_jpg.rf.003476f680b71b74f3764a14153a634a.jpg,640,640,Rock,28,367,175,467
IMG_5636_MOV-61_jpg.rf.003476f680b71b74f3764a14153a634a.jpg,640,640,Paper,281,333,556,452
egohands-public-1626201626932_png_jpg.rf.001f745e10caeb2be82294d9ec919dc0.jpg,640,640,Scissors,18,240,277,458
IMG_7077_MOV-88_jpg.rf.00235d8ae3c3ac4a618ddde10a32c229.jpg,640,640,Rock,465,50,573,284
IMG_7077_MOV-88_jpg.rf.00235d8ae3c3ac4a618ddde10a32c229.jpg,640,640,Rock,129,106,209,300

IMG_7043_MOV-71_jpg.rf.0059209d24d383f7ac8f635535fb72ee.jpg,640,640,Rock,255,317,609,566

egohands-public-1620849849796_png_jpg.rf.0041e991fdc55e1f524bea43748c38cd.jpg,640,640,Rock,362,384,561,636

egohands-public-1620914959610_png_jpg.rf.0059e4dca308010da5962eab67e57d91.jpg,640,640,Rock,400,253,542,394

egohands-public-1628521099042_png_jpg.rf.0036556afa2caf5d7a05287dd1488c30.jpg,640,640,Scissors,221,7,550,347

egohands-public-1622730814115_png_jpg.rf.00783125b4f09dcc4a7e713a0dd91a3b.jpg,640,640,Rock,101,249,271,431
egohands-public-1620849853861_png_jpg.rf.006625bff89a94d43160f555f2028139.jpg,640,640,Rock,39,391,264,609

youtube-60_jpg.rf.005aa1a116df3518f0e9ba17c3c9c503.jpg,640,640,Rock,370,41,583,403
egohands-public-1621214701582_png_jpg.rf.006e415f28b4bf85bc65e875eb8b683d.jpg,640,640,Scissors,379,429,598,629
youtube-87_jpg.rf.006c1c29f0afd21626287d3c856d4165.jpg,640,640,Rock,72,34,231,256
youtube-87_jpg.rf.006c1c29f0afd21626287d3c856d4165.jpg,640,640,Rock,412,36,562,266
egohands-public-1624972121557_png_jpg.rf.0088deff894fe5dfe463991876bd2121.jpg,640,640,Paper,161,329,398,451
youtube-100_jpg.rf.007eb634c458efdd03a360c33d2d1dd2.jpg,640,640,Scissors,167,168,422,426

IMG_7043_MOV-185_jpg.rf.009bef00483198d8e429f243d1d1fdfa.jpg,640,640,Rock,489,448,640,640

Screen-Shot-2022-02-16-at-11-18-08-AM-2-_png.rf.008f70e76f3aa9ece41255c44920afe7.jpg,640,640,Scissors,402,331,517,593
IMG_7077_MOV-15_jpg.rf.007c9ee7b9aded760262afde40233ab4.jpg,640,640,Scissors,290,335,425,472
IMG_7077_MOV-15_jpg.rf.007c9ee7b9aded760262afde40233ab4.jpg,640,640,Rock,104,153,190,314
IMG_7079_MOV-150_jpg.rf.0083dd71589dda2cdcaa7b84ceeba52f.jpg,640,640,Scissors,0,198,389,348


IMG_7079_MOV-27_jpg.rf.0095a6f39845d2b7b60fb591f58d991a.jpg,640,640,Paper,48,177,344,482

IMG_7077_MOV-83_jpg.rf.00ae384e9d5c8b58e7b454c7ad7c2f4c.jpg,640,640,Scissors,124,278,293,414
IMG_7077_MOV-83_jpg.rf.00ae384e9d5c8b58e7b454c7ad7c2f4c.jpg,640,640,Scissors,333,290,448,401


IMG_7079_MOV-10_jpg.rf.00c0d82ff1bf16dc0221097780a0923d.jpg,640,640,Rock,0,227,404,531

20220216_220920_jpg.rf.00b9c195cec2b119656141bc3ab1496c.jpg,640,640,Scissors,19,390,429,525
Screen-Shot-2021-05-12-at-3-33-47-PM_png_jpg.rf.01107bf4248ae61b2ddedaea7084e48a.jpg,640,640,Paper,81,233,211,407
